city,ev_adoption_pct,solar_adoption_pct,trees_planted_pct,plastic_recycling_pct,public_transport_usage_pct,co2_emissions,aqi,electricity_demand,green_score
Delhi,11.602836962083316,27.62450644579767,3.804620337350105,45.3410399534926,46.4831214690342,974.4837624713595,232.2028379258063,1286.137638738295,40.56794497789308
Delhi,14.872224413580064,4.443205959731273,8.849650991915883,51.83427839944677,59.86841064105366,961.0039854903864,219.7609922927847,1570.7717737871933,35.241146862847394
Delhi,15.835993224494981,1.3401096051036738,6.992258020227819,68.0099343303543,38.40335944527321,1041.1034306378842,245.4821535003637,1536.2894683384638,30.068715538914677
Delhi,5.506245247461921,0.9908057271425204,35.327632401132114,63.747594155726176,34.35879278938928,1060.2175648074333,237.06031353366865,1515.9050682070738,24.80151456047762
Delhi,13.734715891948902,0.0,17.34317662023991,50.264288665188666,35.71491660866659,1077.4329115319247,214.3587054702218,1528.0960798020303,24.381662199919425
Delhi,25.087853456743773,25.431457778312428,40.349124297084614,58.25659453208591,63.23575738458732,774.7238114336269,146.07448998937738,1396.1913749680873,70.50161835528753
Delhi,0.0,3.719900954299767,35.15632496206423,38.949533307267565,36.75708567883574,1081.3844130863886,237.73618608986487,1497.4497707778228,35.56467941740308
Delhi,27.068140715941155,9.414222335030402,17.193866561687962,46.973542789269565,61.27453620259115,865.7285032723526,180.57917545425164,1522.699445999342,55.169132403996414
Delhi,11.754751466858444,12.268904681864058,32.456915092336516,42.90804692368401,49.55294054043224,966.6480140589731,203.85097379263385,1467.3163715463093,40.92367710760691
Delhi,5.645722128709025,0.0,5.597895583623892,44.81338285256314,36.399071677659585,1130.090920620959,244.94737869463904,1574.4906413650344,24.01073507121506
Delhi,0.0,0.0,6.00030255458875,44.39638571180531,58.515451550179726,1040.8426070512967,239.50299922253097,1538.5213208089976,33.73172987048741
Delhi,15.800333260325317,10.798481183497007,5.504645498687665,51.90100679646251,59.861814563067895,935.5782997504904,183.46231110112274,1500.8725742092317,44.89495005077718
Delhi,15.982009016553391,0.0,16.754668967745904,61.12960535347133,44.12823105667049,1014.1372749512476,214.45134357872172,1581.3573685393044,35.549517167312466
Delhi,10.124322966182671,0.9679847733339173,10.205978540553195,63.28032537121095,28.749353826138556,1131.436328299458,264.57845246298024,1571.0214122743005,21.65364828150571
Delhi,6.099916596069333,0.0,36.81584788744688,35.889528748401816,34.46016388765911,1063.0082677263604,228.5983925560065,1544.6662467798046,37.664181367113926
Delhi,14.410706165581725,21.268919033887116,21.338189269203063,57.91146051701487,50.275479148306424,878.3567560557797,218.72465330196144,1391.1710174735435,56.18793708439604
Delhi,14.800321699809906,0.5900395337223792,10.126158307620148,62.01505788770929,62.08920859479826,966.1615756273789,192.70996354747115,1576.403046782784,46.370275327103464
Delhi,9.742429469825094,0.7787983666713032,17.431706974706117,66.7544263522545,41.51783753064663,1048.1486413735342,232.50825454627125,1516.5263307990447,32.35318804234243
Delhi,5.398599100321288,8.520835990666658,25.330781247639976,55.95372889142863,27.035212326069242,1113.0240995053468,256.5045119121418,1530.6883504774983,28.38020747211641
Delhi,28.010726649647857,0.0,19.503234818358003,63.46505662231274,36.716636702230204,995.4564927108104,207.97651487756542,1593.9191640953266,46.97685175824559
Delhi,14.929780380297679,0.0,24.437680799246227,39.42177624476082,54.820711858344694,986.7943517134491,194.16107279522686,1571.4229059368686,39.07161821518292
Delhi,22.167235553719788,20.910357086225716,25.857333723428404,46.6762992638665,56.085680140777846,824.6274081705545,196.5291931764936,1407.0141915739794,57.38777784854561
Delhi,11.339241741480887,15.545659359722965,12.762006923590114,41.07101987455759,38.51443985538255,1042.7722830823302,236.18607363631065,1467.305269714441,38.43152971737258
Delhi,28.158746366834592,0.0,26.843421542082126,69.17896675215579,54.435756757757524,921.9969878701614,175.6423980128625,1576.3581753740286,48.766301489299366
Delhi,0.0,7.096486149245003,34.0269432237388,48.69789307890416,38.436666656370114,1066.5279629748954,249.49668341407303,1443.5501590373826,33.007868424685505
